point_id,area_code,area_name,description,x_coordinate,y_coordinate,installed_sensors
RMS001,RMS,原料储存区,原料储存区的监测点1,43.61,19.8,"temperature,pressure,flow_rate,level,gas_concentration"
RMS002,RMS,原料储存区,原料储存区的监测点2,19.97,76.67,"temperature,pressure,flow_rate,level,gas_concentration"
RMS003,RMS,原料储存区,原料储存区的监测点3,31.51,82.56,"temperature,pressure,flow_rate,level,gas_concentration"
RMS004,RMS,原料储存区,原料储存区的监测点4,65.27,57.87,"temperature,pressure,flow_rate,level,gas_concentration"
RMS005,RMS,原料储存区,原料储存区的监测点5,83.73,35.07,"temperature,pressure,flow_rate,level,gas_concentration"
RMS006,RMS,原料储存区,原料储存区的监测点6,24.2,57.42,"temperature,pressure,flow_rate,level,gas_concentration"
RMS007,RMS,原料储存区,原料储存区的监测点7,2.65,44.64,"temperature,pressure,flow_rate,level,gas_concentration"
RMS008,RMS,原料储存区,原料储存区的监测点8,25.46,18.84,"temperature,pressure,flow_rate,level,gas_concentration"
RMS009,RMS,原料储存区,原料储存区的监测点9,5.4,86.78,"temperature,pressure,flow_rate,level,gas_concentration"
RMS010,RMS,原料储存区,原料储存区的监测点10,33.31,19.13,"temperature,pressure,flow_rate,level,gas_concentration"
RMS011,RMS,原料储存区,原料储存区的监测点11,58.63,59.33,"temperature,pressure,flow_rate,level,gas_concentration"
RMS012,RMS,原料储存区,原料储存区的监测点12,55.36,15.12,"temperature,pressure,flow_rate,level,gas_concentration"
RMS013,RMS,原料储存区,原料储存区的监测点13,1.74,35.46,"temperature,pressure,flow_rate,level,gas_concentration"
RMS014,RMS,原料储存区,原料储存区的监测点14,86.3,62.94,"temperature,pressure,flow_rate,level,gas_concentration"
RMS015,RMS,原料储存区,原料储存区的监测点15,20.4,83.18,"temperature,pressure,flow_rate,level,gas_concentration"
RMS016,RMS,原料储存区,原料储存区的监测点16,79.32,76.05,"temperature,pressure,flow_rate,level,gas_concentration"
RMS017,RMS,原料储存区,原料储存区的监测点17,6.19,0.06,"temperature,pressure,flow_rate,level,gas_concentration"
RMS018,RMS,原料储存区,原料储存区的监测点18,90.67,20.41,"temperature,pressure,flow_rate,level,gas_concentration"
RMS019,RMS,原料储存区,原料储存区的监测点19,48.19,23.57,"temperature,pressure,flow_rate,level,gas_concentration"
RMS020,RMS,原料储存区,原料储存区的监测点20,83.64,13.93,"temperature,pressure,flow_rate,level,gas_concentration"
REA001,REA,反应器区,反应器区的监测点1,72.17,5.93,"temperature,pressure,flow_rate,level,gas_concentration"
REA002,REA,反应器区,反应器区的监测点2,57.13,48.49,"temperature,pressure,flow_rate,level,gas_concentration"
REA003,REA,反应器区,反应器区的监测点3,99.55,30.53,"temperature,pressure,flow_rate,level,gas_concentration"
REA004,REA,反应器区,反应器区的监测点4,80.14,38.91,"temperature,pressure,flow_rate,level,gas_concentration"
REA005,REA,反应器区,反应器区的监测点5,34.19,20.76,"temperature,pressure,flow_rate,level,gas_concentration"
REA006,REA,反应器区,反应器区的监测点6,17.77,85.47,"temperature,pressure,flow_rate,level,gas_concentration"
REA007,REA,反应器区,反应器区的监测点7,84.81,67.42,"temperature,pressure,flow_rate,level,gas_concentration"
REA008,REA,反应器区,反应器区的监测点8,36.25,47.9,"temperature,pressure,flow_rate,level,gas_concentration"
REA009,REA,反应器区,反应器区的监测点9,88.83,76.38,"temperature,pressure,flow_rate,level,gas_concentration"
REA010,REA,反应器区,反应器区的监测点10,14.89,63.16,"temperature,pressure,flow_rate,level,gas_concentration"
REA011,REA,反应器区,反应器区的监测点11,43.58,35.4,"temperature,pressure,flow_rate,level,gas_concentration"
REA012,REA,反应器区,反应器区的监测点12,60.02,3.25,"temperature,pressure,flow_rate,level,gas_concentration"
REA013,REA,反应器区,反应器区的监测点13,4.65,93.8,"temperature,pressure,flow_rate,level,gas_concentration"
REA014,REA,反应器区,反应器区的监测点14,90.3,40.76,"temperature,pressure,flow_rate,level,gas_concentration"
REA015,REA,反应器区,反应器区的监测点15,48.76,68.31,"temperature,pressure,flow_rate,level,gas_concentration"
REA016,REA,反应器区,反应器区的监测点16,96.87,67.87,"temperature,pressure,flow_rate,level,gas_concentration"
REA017,REA,反应器区,反应器区的监测点17,16.28,20.85,"temperature,pressure,flow_rate,level,gas_concentration"
REA018,REA,反应器区,反应器区的监测点18,76.14,46.99,"temperature,pressure,flow_rate,level,gas_concentration"
REA019,REA,反应器区,反应器区的监测点19,81.37,25.09,"temperature,pressure,flow_rate,level,gas_concentration"
REA020,REA,反应器区,反应器区的监测点20,0.54,12.7,"temperature,pressure,flow_rate,level,gas_concentration"
REA021,REA,反应器区,反应器区的监测点21,28.17,56.83,"temperature,pressure,flow_rate,level,gas_concentration"
REA022,REA,反应器区,反应器区的监测点22,82.99,2.36,"temperature,pressure,flow_rate,level,gas_concentration"
REA023,REA,反应器区,反应器区的监测点23,91.4,17.08,"temperature,pressure,flow_rate,level,gas_concentration"
REA024,REA,反应器区,反应器区的监测点24,91.93,92.69,"temperature,pressure,flow_rate,level,gas_concentration"
REA025,REA,反应器区,反应器区的监测点25,88.07,44.95,"temperature,pressure,flow_rate,level,gas_concentration"
SEP001,SEP,分离提纯区,分离提纯区的监测点1,49.06,98.21,"temperature,pressure,flow_rate,level,gas_concentration"
SEP002,SEP,分离提纯区,分离提纯区的监测点2,52.91,53.49,"temperature,pressure,flow_rate,level,gas_concentration"
SEP003,SEP,分离提纯区,分离提纯区的监测点3,21.9,9.22,"temperature,pressure,flow_rate,level,gas_concentration"
SEP004,SEP,分离提纯区,分离提纯区的监测点4,82.55,51.66,"temperature,pressure,flow_rate,level,gas_concentration"
SEP005,SEP,分离提纯区,分离提纯区的监测点5,48.05,33.62,"temperature,pressure,flow_rate,level,gas_concentration"
SEP006,SEP,分离提纯区,分离提纯区的监测点6,28.56,95.73,"temperature,pressure,flow_rate,level,gas_concentration"
SEP007,SEP,分离提纯区,分离提纯区的监测点7,92.29,73.66,"temperature,pressure,flow_rate,level,gas_concentration"
SEP008,SEP,分离提纯区,分离提纯区的监测点8,5.27,72.82,"temperature,pressure,flow_rate,level,gas_concentration"
SEP009,SEP,分离提纯区,分离提纯区的监测点9,24.89,96.63,"temperature,pressure,flow_rate,level,gas_concentration"
SEP010,SEP,分离提纯区,分离提纯区的监测点10,91.24,32.4,"temperature,pressure,flow_rate,level,gas_concentration"
SEP011,SEP,分离提纯区,分离提纯区的监测点11,75.57,24.75,"temperature,pressure,flow_rate,level,gas_concentration"
SEP012,SEP,分离提纯区,分离提纯区的监测点12,94.27,92.33,"temperature,pressure,flow_rate,level,gas_concentration"
SEP013,SEP,分离提纯区,分离提纯区的监测点13,33.13,96.94,"temperature,pressure,flow_rate,level,gas_concentration"
SEP014,SEP,分离提纯区,分离提纯区的监测点14,69.55,62.97,"temperature,pressure,flow_rate,level,gas_concentration"
SEP015,SEP,分离提纯区,分离提纯区的监测点15,11.92,18.82,"temperature,pressure,flow_rate,level,gas_concentration"
SEP016,SEP,分离提纯区,分离提纯区的监测点16,85.25,9.48,"temperature,pressure,flow_rate,level,gas_concentration"
SEP017,SEP,分离提纯区,分离提纯区的监测点17,90.42,75.26,"temperature,pressure,flow_rate,level,gas_concentration"
SEP018,SEP,分离提纯区,分离提纯区的监测点18,34.55,0.0,"temperature,pressure,flow_rate,level,gas_concentration"
SEP019,SEP,分离提纯区,分离提纯区的监测点19,0.17,6.16,"temperature,pressure,flow_rate,level,gas_concentration"
SEP020,SEP,分离提纯区,分离提纯区的监测点20,18.42,23.92,"temperature,pressure,flow_rate,level,gas_concentration"
PRO001,PRO,成品储存区,成品储存区的监测点1,94.61,97.49,"temperature,pressure,flow_rate,level,gas_concentration"
PRO002,PRO,成品储存区,成品储存区的监测点2,73.26,0.33,"temperature,pressure,flow_rate,level,gas_concentration"
PRO003,PRO,成品储存区,成品储存区的监测点3,4.76,2.0,"temperature,pressure,flow_rate,level,gas_concentration"
PRO004,PRO,成品储存区,成品储存区的监测点4,91.6,9.54,"temperature,pressure,flow_rate,level,gas_concentration"
PRO005,PRO,成品储存区,成品储存区的监测点5,18.53,66.62,"temperature,pressure,flow_rate,level,gas_concentration"
PRO006,PRO,成品储存区,成品储存区的监测点6,19.41,1.99,"temperature,pressure,flow_rate,level,gas_concentration"
PRO007,PRO,成品储存区,成品储存区的监测点7,64.8,1.37,"temperature,pressure,flow_rate,level,gas_concentration"
PRO008,PRO,成品储存区,成品储存区的监测点8,22.18,28.73,"temperature,pressure,flow_rate,level,gas_concentration"
PRO009,PRO,成品储存区,成品储存区的监测点9,85.15,24.5,"temperature,pressure,flow_rate,level,gas_concentration"
PRO010,PRO,成品储存区,成品储存区的监测点10,75.23,12.9,"temperature,pressure,flow_rate,level,gas_concentration"
PRO011,PRO,成品储存区,成品储存区的监测点11,46.71,85.87,"temperature,pressure,flow_rate,level,gas_concentration"
PRO012,PRO,成品储存区,成品储存区的监测点12,20.54,7.84,"temperature,pressure,flow_rate,level,gas_concentration"
PRO013,PRO,成品储存区,成品储存区的监测点13,88.06,58.16,"temperature,pressure,flow_rate,level,gas_concentration"
PRO014,PRO,成品储存区,成品储存区的监测点14,72.88,40.64,"temperature,pressure,flow_rate,level,gas_concentration"
PRO015,PRO,成品储存区,成品储存区的监测点15,13.21,1.68,"temperature,pressure,flow_rate,level,gas_concentration"
UTL001,UTL,公用工程区,公用工程区的监测点1,69.04,98.34,"temperature,pressure,flow_rate,level,gas_concentration"
UTL002,UTL,公用工程区,公用工程区的监测点2,31.57,94.92,"temperature,pressure,flow_rate,level,gas_concentration"
UTL003,UTL,公用工程区,公用工程区的监测点3,71.54,49.34,"temperature,pressure,flow_rate,level,gas_concentration"
UTL004,UTL,公用工程区,公用工程区的监测点4,97.77,29.09,"temperature,pressure,flow_rate,level,gas_concentration"
UTL005,UTL,公用工程区,公用工程区的监测点5,47.66,25.96,"temperature,pressure,flow_rate,level,gas_concentration"
UTL006,UTL,公用工程区,公用工程区的监测点6,74.14,19.43,"temperature,pressure,flow_rate,level,gas_concentration"
UTL007,UTL,公用工程区,公用工程区的监测点7,78.56,13.66,"temperature,pressure,flow_rate,level,gas_concentration"
UTL008,UTL,公用工程区,公用工程区的监测点8,67.54,25.37,"temperature,pressure,flow_rate,level,gas_concentration"
UTL009,UTL,公用工程区,公用工程区的监测点9,16.78,92.45,"temperature,pressure,flow_rate,level,gas_concentration"
UTL010,UTL,公用工程区,公用工程区的监测点10,13.58,9.63,"temperature,pressure,flow_rate,level,gas_concentration"
UTL011,UTL,公用工程区,公用工程区的监测点11,76.09,14.46,"temperature,pressure,flow_rate,level,gas_concentration"
UTL012,UTL,公用工程区,公用工程区的监测点12,93.06,50.22,"temperature,pressure,flow_rate,level,gas_concentration"
UTL013,UTL,公用工程区,公用工程区的监测点13,36.28,23.31,"temperature,pressure,flow_rate,level,gas_concentration"
UTL014,UTL,公用工程区,公用工程区的监测点14,77.69,30.7,"temperature,pressure,flow_rate,level,gas_concentration"
UTL015,UTL,公用工程区,公用工程区的监测点15,66.44,99.56,"temperature,pressure,flow_rate,level,gas_concentration"
UTL016,UTL,公用工程区,公用工程区的监测点16,86.04,52.75,"temperature,pressure,flow_rate,level,gas_concentration"
UTL017,UTL,公用工程区,公用工程区的监测点17,41.41,79.87,"temperature,pressure,flow_rate,level,gas_concentration"
UTL018,UTL,公用工程区,公用工程区的监测点18,88.73,77.84,"temperature,pressure,flow_rate,level,gas_concentration"
UTL019,UTL,公用工程区,公用工程区的监测点19,72.88,72.56,"temperature,pressure,flow_rate,level,gas_concentration"
UTL020,UTL,公用工程区,公用工程区的监测点20,98.78,56.89,"temperature,pressure,flow_rate,level,gas_concentration"
